lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373858000503821,0.6373858000503821,0.0,0.0,1.0,1.0,8.579999848734587e-05
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.637385754750223,0.637385754750223,0.0,0.0,2.0,2.0,0.0001615999935893342
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,3.0,3.0,0.00023520000104326755
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,4.0,4.0,0.0003082000039285049
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,5.0,5.0,0.0003802999999606982
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,6.0,6.0,0.00045089999912306666
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,7.0,7.0,0.0005207000067457557
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,8.0,8.0,0.0005902999982936308
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,9.0,9.0,0.0006603999936487526
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,10.0,10.0,0.0007305000035557896
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,11.0,11.0,0.0007999999943422154
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,12.0,12.0,0.0008696000004420057
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,13.0,13.0,0.0009388000034959987
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,14.0,14.0,0.0010079000057885423
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,15.0,15.0,0.0010755999974207953
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,16.0,16.0,0.0011599999997997656
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,17.0,17.0,0.0012310000020079315
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,18.0,18.0,0.0013017000019317493
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,19.0,19.0,0.0013723000010941178
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,20.0,20.0,0.0014438000071095303
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,21.0,21.0,0.0015158000023802742
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,22.0,22.0,0.001585599995451048
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,23.0,23.0,0.0016542999946977943
0.0,0.0,none,4,nonlinear,levenberg_marquardt,0.6373857547502046,0.6373857547502046,0.0,0.0,24.0,24.0,0.0017235999985132366
